"1","0","1","Авто. Мото. Транспорт","Avto. Moto. Transport","Автомобили, мотоциклы, мопеды, велосипеды. Покупка, продажа, прокат","Transport_1.gif","1"
"2","0","1","Интерьер и всё, что вокруг нас","Interer i vsyo, chto vokrug nas","Мебель, посуда, аксессуары, декорирование. Ремонт, восстановление, услуги","Interer_2.gif","5"
"3","0","1","Недвижимость","Nedvizhimost","Покупка, продажа, ипотека, аренда. Дома, дачи, коммерческая недвижимость","Nedvigimost_3.gif","7"
"4","0","1","Бытовая и оргтехника","Bytovaya i orgtehnika","Бытовая и оргтехника. Компьютеры и комплектующие. Сервисное обслуживание и ремонт","Bitovaya_I_Orgtehnika_4.gif","2"
"6","0","1","Компьютеры и Комплектующие","Kompyutery i Komplektuyuschie","Компьютеры и Комплектующие","Biznes_I_Finansi_6.gif","6"
"7","0","1","Досуг и развлечения","Dosug i razvlecheniya","Туризм. Спорт. Книги, видео, аудио, коллекционирование. Фото, кино, оптика. Творчество","Dosug_I_Razvlecheniya_7.gif","3"
"8","0","1","Товары, Оборудование и Материалы","Tovary, Oborudovanie i Materialy","Различные товары, продовольствие, инвентарь, сырьё","Tovari_8.gif","11"
"9","0","1","Работа","Rabota","Поиск работы. Агенства. Вакансии и резюме","Rabota_9.gif","9"
"10","0","1","Образование и наука","Obrazovanie i nauka","Курсы, уроки, консультации. Воспитатели и репетиторство","Obrazovanie_I_Nauka_10.gif","8"
"11","0","1","Строительство и ремонт","Stroitelstvo i remont","Стройматериалы и оборудование. Строительство, ремонт, обслуживание","Stroitelstvo_I_Remont_11.gif","10"
"12","0","1","Услуги","Uslugi","Грузоперевозки. Дизайн. Услуги в интернет. Кредиты. Услуги, не перечисленные в основных разделах","Uslugi_12.gif","12"
"50","1","0","Легковые автомобили","Legkovye avtomobili","Легковые автомобили",,"2"
"51","1","0","Грузовые автомобили","Gruzovye avtomobili","Грузовые автомобили",,"6"
"52","1","0","Мотоциклы, квадроциклы","Moto","Мотоциклы, квадроциклы",,"1"
"53","1","0","Автосервис, тюнинг","Avtoservisy i tuning","Автосервис, тюнинг",,"4"
"54","1","0","Гаражи и Стоянки","Garazhi i Stoyanki","Гаражи и Стоянки",,"5"
"55","1","0","Запчасти и принадлежности","Zapchasti i prinadlezhnosti","Запчасти и принадлежности",,"3"
"56","4","0","Газовые и электрические плиты","Gazovye i elektricheskie plity","Газовые и электрические плиты",,"21"
"57","4","0","СВЧ-печи","SVCh-pechi","СВЧ-печи",,"27"
"58","4","0","Кондиционеры","Kondicionery","Кондиционеры",,"23"
"59","4","0","Ремонт и Обслуживание","Remont i Obsluzhivanie","Ремонт и Обслуживание",,"26"
"60","4","0","Стиральные машины","Stiralnye mashiny","Стиральные машины",,"28"
"61","4","0","Холодильники","Holodilniki","Холодильники",,"30"
"62","4","0","Швейные и вязальные машины","Shveynye i vyazalnye mashiny","Швейные и вязальные машины",,"31"
